type	taxid
artificial_sequences	31797
artificial_sequences	31798
artificial_sequences	31799
artificial_sequences	31800
artificial_sequences	31801
artificial_sequences	31802
artificial_sequences	31803
artificial_sequences	31804
artificial_sequences	31805
artificial_sequences	31806
artificial_sequences	31807
artificial_sequences	31808
artificial_sequences	31809
artificial_sequences	31810
artificial_sequences	31811
artificial_sequences	31812
artificial_sequences	31813
artificial_sequences	31814
artificial_sequences	31815
artificial_sequences	31816
artificial_sequences	31817
artificial_sequences	31818
artificial_sequences	31819
artificial_sequences	31820
artificial_sequences	31821
artificial_sequences	31822
artificial_sequences	31823
artificial_sequences	31824
artificial_sequences	31825
artificial_sequences	31826
artificial_sequences	31827
artificial_sequences	31828
artificial_sequences	31829
artificial_sequences	31830
artificial_sequences	31831
artificial_sequences	31832
artificial_sequences	31833
artificial_sequences	31834
artificial_sequences	31835
artificial_sequences	31836
artificial_sequences	31837
artificial_sequences	31838
artificial_sequences	31839
artificial_sequences	31840
artificial_sequences	31841
artificial_sequences	31842
artificial_sequences	31843
artificial_sequences	31844
artificial_sequences	31845
artificial_sequences	31846
artificial_sequences	31847
artificial_sequences	31848
artificial_sequences	31849
artificial_sequences	31850
artificial_sequences	31851
artificial_sequences	31852
artificial_sequences	31853
artificial_sequences	31854
artificial_sequences	31855
artificial_sequences	31856
artificial_sequences	31857
artificial_sequences	31858
artificial_sequences	31859
artificial_sequences	31860
artificial_sequences	31861
artificial_sequences	31862
artificial_sequences	31863
artificial_sequences	31864
artificial_sequences	31865
artificial_sequences	31866
artificial_sequences	31867
artificial_sequences	32630
artificial_sequences	33777
artificial_sequences	33778
artificial_sequences	33779
artificial_sequences	33780
artificial_sequences	33781
artificial_sequences	33782
artificial_sequences	33783
artificial_sequences	33784
artificial_sequences	33785
artificial_sequences	33786
artificial_sequences	33787
artificial_sequences	33788
artificial_sequences	35353
artificial_sequences	35354
artificial_sequences	35355
artificial_sequences	35356
artificial_sequences	35357
artificial_sequences	35358
artificial_sequences	35359
artificial_sequences	35360
artificial_sequences	35361
artificial_sequences	35362
artificial_sequences	35363
artificial_sequences	35364
artificial_sequences	35365
artificial_sequences	35366
artificial_sequences	35367
artificial_sequences	35368
artificial_sequences	35369
artificial_sequences	35370
artificial_sequences	35371
artificial_sequences	35372
artificial_sequences	35373
artificial_sequences	35374
artificial_sequences	35375
artificial_sequences	35376
artificial_sequences	35377
artificial_sequences	35614
artificial_sequences	36550
artificial_sequences	36551
artificial_sequences	36552
artificial_sequences	36553
artificial_sequences	36554
artificial_sequences	36555
artificial_sequences	36556
artificial_sequences	36557
artificial_sequences	36558
artificial_sequences	36559
artificial_sequences	36560
artificial_sequences	36561
artificial_sequences	36562
artificial_sequences	36563
artificial_sequences	36564
artificial_sequences	36565
artificial_sequences	36566
artificial_sequences	36567
artificial_sequences	36568
artificial_sequences	36569
artificial_sequences	36570
artificial_sequences	36571
artificial_sequences	36572
artificial_sequences	36573
artificial_sequences	36574
artificial_sequences	36575
artificial_sequences	36576
artificial_sequences	36577
artificial_sequences	36578
artificial_sequences	36579
artificial_sequences	36580
artificial_sequences	36581
artificial_sequences	36582
artificial_sequences	36583
artificial_sequences	36584
artificial_sequences	36585
artificial_sequences	36586
artificial_sequences	36587
artificial_sequences	36588
artificial_sequences	37153
artificial_sequences	37154
artificial_sequences	37155
artificial_sequences	37156
artificial_sequences	37157
artificial_sequences	37158
artificial_sequences	37159
artificial_sequences	37160
artificial_sequences	37161
artificial_sequences	37970
artificial_sequences	37971
artificial_sequences	37972
artificial_sequences	37973
artificial_sequences	37974
artificial_sequences	37975
artificial_sequences	37976
artificial_sequences	37977
artificial_sequences	37978
artificial_sequences	37979
artificial_sequences	37980
artificial_sequences	37981
artificial_sequences	37982
artificial_sequences	38316
artificial_sequences	38317
artificial_sequences	38318
artificial_sequences	38737
artificial_sequences	38738
artificial_sequences	39034
artificial_sequences	39035
artificial_sequences	39036
artificial_sequences	39038
artificial_sequences	39055
artificial_sequences	39056
artificial_sequences	39121
artificial_sequences	39477
artificial_sequences	39792
artificial_sequences	39793
artificial_sequences	39794
artificial_sequences	39795
artificial_sequences	39796
artificial_sequences	39797
artificial_sequences	39798
artificial_sequences	39799
artificial_sequences	40154
artificial_sequences	40160
artificial_sequences	40277
artificial_sequences	40299
artificial_sequences	40581
artificial_sequences	40582
artificial_sequences	40827
artificial_sequences	40992
artificial_sequences	41037
artificial_sequences	41435
artificial_sequences	41458
artificial_sequences	41869
artificial_sequences	42006
artificial_sequences	42057
artificial_sequences	42098
artificial_sequences	42211
artificial_sequences	42446
artificial_sequences	42459
artificial_sequences	42470
artificial_sequences	42629
artificial_sequences	42667
artificial_sequences	42694
artificial_sequences	42699
artificial_sequences	42700
artificial_sequences	42701
artificial_sequences	42702
artificial_sequences	42703
artificial_sequences	42704
artificial_sequences	42705
artificial_sequences	42706
artificial_sequences	42707
artificial_sequences	42708
artificial_sequences	42709
artificial_sequences	42710
artificial_sequences	42711
artificial_sequences	42809
artificial_sequences	42866
artificial_sequences	42867
artificial_sequences	42868
artificial_sequences	42869
artificial_sequences	42870
artificial_sequences	42871
artificial_sequences	42872
artificial_sequences	42873
artificial_sequences	42874
artificial_sequences	42875
artificial_sequences	42876
artificial_sequences	42877
artificial_sequences	42878
artificial_sequences	43058
artificial_sequences	43059
artificial_sequences	43132
artificial_sequences	43133
artificial_sequences	43134
artificial_sequences	43135
artificial_sequences	43136
artificial_sequences	43248
artificial_sequences	43249
artificial_sequences	43250
artificial_sequences	43251
artificial_sequences	43300
artificial_sequences	43359
artificial_sequences	43360
artificial_sequences	43361
artificial_sequences	43692
artificial_sequences	43840
artificial_sequences	43841
artificial_sequences	43842
artificial_sequences	43991
artificial_sequences	44006
artificial_sequences	44120
artificial_sequences	44121
artificial_sequences	44122
artificial_sequences	44690
artificial_sequences	44739
artificial_sequences	44740
artificial_sequences	45037
artificial_sequences	45195
artificial_sequences	45196
artificial_sequences	45197
artificial_sequences	45199
artificial_sequences	45241
artificial_sequences	45389
artificial_sequences	45390
artificial_sequences	45391
artificial_sequences	45530
artificial_sequences	45534
artificial_sequences	45536
artificial_sequences	45624
artificial_sequences	45701
artificial_sequences	45702
artificial_sequences	45703
artificial_sequences	45704
artificial_sequences	45705
artificial_sequences	45706
artificial_sequences	45707
artificial_sequences	45708
artificial_sequences	45765
artificial_sequences	45766
artificial_sequences	45771
artificial_sequences	45778
artificial_sequences	45772
artificial_sequences	45773
artificial_sequences	45776
artificial_sequences	45777
artificial_sequences	45850
artificial_sequences	45852
artificial_sequences	45853
artificial_sequences	45854
artificial_sequences	45855
artificial_sequences	45856
artificial_sequences	45857
artificial_sequences	45858
artificial_sequences	45859
artificial_sequences	45860
artificial_sequences	45889
artificial_sequences	45890
artificial_sequences	45891
artificial_sequences	45892
artificial_sequences	45973
artificial_sequences	45974
artificial_sequences	46191
artificial_sequences	46192
artificial_sequences	46193
artificial_sequences	46235
artificial_sequences	46236
artificial_sequences	46349
artificial_sequences	46437
artificial_sequences	46438
artificial_sequences	46439
artificial_sequences	46440
artificial_sequences	46441
artificial_sequences	46442
artificial_sequences	46443
artificial_sequences	46444
artificial_sequences	46445
artificial_sequences	46449
artificial_sequences	46534
artificial_sequences	46535
artificial_sequences	46536
artificial_sequences	46537
artificial_sequences	46538
artificial_sequences	46622
artificial_sequences	46623
artificial_sequences	46655
artificial_sequences	46656
artificial_sequences	46657
artificial_sequences	46658
artificial_sequences	46803
artificial_sequences	46805
artificial_sequences	46806
artificial_sequences	46912
artificial_sequences	46915
artificial_sequences	47007
artificial_sequences	47011
artificial_sequences	47012
artificial_sequences	47013
artificial_sequences	47014
artificial_sequences	47015
artificial_sequences	47016
artificial_sequences	47017
artificial_sequences	47018
artificial_sequences	47019
artificial_sequences	47039
artificial_sequences	47040
artificial_sequences	47041
artificial_sequences	47042
artificial_sequences	47043
artificial_sequences	47044
artificial_sequences	47045
artificial_sequences	47046
artificial_sequences	47224
artificial_sequences	47470
artificial_sequences	47591
artificial_sequences	47682
artificial_sequences	47683
artificial_sequences	47684
artificial_sequences	47685
artificial_sequences	47686
artificial_sequences	47800
artificial_sequences	47840
artificial_sequences	47841
artificial_sequences	47842
artificial_sequences	47843
artificial_sequences	47844
artificial_sequences	47940
artificial_sequences	47941
artificial_sequences	47942
artificial_sequences	47943
artificial_sequences	47944
artificial_sequences	47945
artificial_sequences	47946
artificial_sequences	47947
artificial_sequences	47948
artificial_sequences	47961
artificial_sequences	47975
artificial_sequences	47993
artificial_sequences	48411
artificial_sequences	48730
artificial_sequences	48916
artificial_sequences	48917
artificial_sequences	48918
artificial_sequences	48983
artificial_sequences	49914
artificial_sequences	49983
artificial_sequences	50332
artificial_sequences	50333
artificial_sequences	50334
artificial_sequences	50335
artificial_sequences	50336
artificial_sequences	50337
artificial_sequences	50427
artificial_sequences	50707
artificial_sequences	50944
artificial_sequences	50945
artificial_sequences	51097
artificial_sequences	51098
artificial_sequences	51162
artificial_sequences	51163
artificial_sequences	51164
artificial_sequences	51198
artificial_sequences	51199
artificial_sequences	51200
artificial_sequences	51257
artificial_sequences	51312
artificial_sequences	51339
artificial_sequences	51512
artificial_sequences	51681
artificial_sequences	52005
artificial_sequences	52006
artificial_sequences	52007
artificial_sequences	52008
artificial_sequences	52009
artificial_sequences	52010
artificial_sequences	52011
artificial_sequences	52012
artificial_sequences	52013
artificial_sequences	52014
artificial_sequences	52164
artificial_sequences	52165
artificial_sequences	52166
artificial_sequences	52270
artificial_sequences	53498
artificial_sequences	53561
artificial_sequences	53569
artificial_sequences	53627
artificial_sequences	53628
artificial_sequences	53629
artificial_sequences	53630
artificial_sequences	53631
artificial_sequences	53632
artificial_sequences	54008
artificial_sequences	54009
artificial_sequences	54105
artificial_sequences	54112
artificial_sequences	54395
artificial_sequences	54478
artificial_sequences	54479
artificial_sequences	54764
artificial_sequences	54765
artificial_sequences	54766
artificial_sequences	55309
artificial_sequences	55592
artificial_sequences	55593
artificial_sequences	55594
artificial_sequences	55595
artificial_sequences	55596
artificial_sequences	56100
artificial_sequences	56101
artificial_sequences	56102
artificial_sequences	56103
artificial_sequences	56104
artificial_sequences	56105
artificial_sequences	56405
artificial_sequences	56445
artificial_sequences	56446
artificial_sequences	56474
artificial_sequences	56691
artificial_sequences	56868
artificial_sequences	56954
artificial_sequences	56961
artificial_sequences	57026
artificial_sequences	57034
artificial_sequences	57035
artificial_sequences	57036
artificial_sequences	57263
artificial_sequences	57264
artificial_sequences	57583
artificial_sequences	58104
artificial_sequences	58105
artificial_sequences	60245
artificial_sequences	60472
artificial_sequences	60473
artificial_sequences	60474
artificial_sequences	60475
